Ticker,Company,ESG Risk score,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level,CDP Score,Sustainability Score,title,quote,current_price,day_range,year_range,market_cap,revenue,website,net_income,news1,news2
PEP,PepsiCo,16,4.9,6.6,4.5,3,A-,55,"PepsiCo, Inc.",PEP:NASDAQ,$179.84 ,$179.61 - $181.82,$160.98 - $196.88,247.56B USD,22.32B,pepsico.com,2.75B,https://www.marketwatch.com/data-news/pepsico-inc-stock-outperforms-market-on-strong-trading-day-f47e9639-96234e581d65,https://beststocks.com/fulton-bank-n-a-increases-ownership-of-pepsico-sh/
PFE,Pfizer,25,2.8,12.9,9.7,3,A-,58,Pfizer Inc.,PFE:NYSE,$34.07 ,$33.81 - $34.42,$33.54 - $54.93,192.36B USD,12.73B,pfizer.com,2.33B,https://finance.yahoo.com/news/pfizer-inc-pfe-attracting-investor-130012014.html,https://www.fool.com/investing/2023/09/14/novavax-is-a-step-behind-should-you-be-worried/
PCG,PG&E Corporation,35,8.4,20.6,6.2,5,A-,75,PG&E Corporation,PCG:NYSE,$17.31 ,$17.13 - $17.40,$12.13 - $18.19,44.47B USD,5.29B,pgecorp.com,406.00M,https://beststocks.com/putnam-investments-llc-increases-holdings-in-pge/,https://beststocks.com/financial-analyst-expresses-optimistic-outloo/
PM,Philip Morris International,24,3.6,10.7,9.5,3,A,61,Philip Morris International Inc.,PM:NYSE,$95.79 ,$95.25 - $96.31,$82.85 - $105.62,148.70B USD,8.97B,pmi.com,1.57B,https://finance.yahoo.com/news/philip-morris-international-nyse-pm-121846968.html,https://www.tipranks.com/news/article/philip-morris-stock-nysepm-gets-dividend-hike-should-you-buy
PSX,Phillips 66,29,16.4,7,6,3,-,29,Phillips 66,PSX:NYSE,$121.03 ,$120.34 - $122.47,$74.02 - $125.19,53.89B USD,35.09B,phillips66.com,1.70B,-,-
PNW,Pinnacle West,31,14.9,10.2,6,1,B,44,Pinnacle West Capital Corporation,PNW:NYSE,$78.62 ,$78.38 - $79.31,$59.03 - $86.03,8.91B USD,1.12B,pinnaclewest.com,106.66M,https://www.marketwatch.com/data-news/pinnacle-west-capital-corp-stock-outperforms-competitors-despite-losses-on-the-day-3840aa91-ffd5b71fb858,https://finance.yahoo.com/news/eongy-pnw-better-value-stock-154010654.html
PXD,Pioneer Natural Resources,37,18.7,9,9.1,1,D,35,Pioneer Natural Resources Co,PXD:NYSE,$234.00 ,$233.81 - $238.34,$177.27 - $274.70,54.56B USD,4.56B,pxd.com,1.10B,https://www.marketwatch.com/data-news/pioneer-natural-resources-co-stock-outperforms-competitors-despite-losses-on-the-day-440bf89b-0c19438c5740,-
PNC,PNC Financial Services,22,1.7,11.8,8.9,3,B,55,PNC Financial Services Group Inc,PNC:NYSE,$126.35 ,$125.69 - $127.44,$110.31 - $170.28,50.32B USD,5.15B,pnc.com,1.48B,https://mintgenie.livemint.com/news/markets/pnc-infratech-share-price-today-live-updates-pnc-infratech-closed-today-at-span-class-webrupee-span-361-up-007-from-yesterday-s-span-class-webrupee-span-36075-151694746802731,https://www.wisbusiness.com/2023/pnc-initial-and-continuing-claims-edged-up-in-early-september-but-remain-very-low-in-a-tight-job-market/
POOL,Pool Corporation,0,0,0,0,0,-,0,Pool Corporation,POOL:NASDAQ,$350.10 ,$347.75 - $355.86,$278.10 - $423.97,13.67B USD,1.86B,poolcorp.com,232.25M,https://www.nasdaq.com/articles/notable-friday-option-activity:-prgs-pool-a,-
PPG,PPG Industries,24,9.3,7.7,7.3,1,C,36,"PPG Industries, Inc.",PPG:NYSE,$133.80 ,$133.52 - $135.72,$107.40 - $152.89,31.51B USD,4.87B,ppg.com,490.00M,https://www.marketwatch.com/data-news/ppg-industries-inc-stock-falls-friday-still-outperforms-market-f7e311c7-ee8c22e0614b,https://beststocks.com/cedar-brook-financial-partners-finds-growth-and-st/
PPL,PPL Corporation,34,19.7,8.3,5.8,2,B,52,PPL Corp,PPL:NYSE,$25.66 ,$25.57 - $25.79,$23.47 - $31.74,18.91B USD,1.82B,pplweb.com,112.00M,https://www.marketwatch.com/data-news/ppl-corp-stock-falls-friday-still-outperforms-market-b8db2a2a-8378cd24e568,https://beststocks.com/macquarie-group-ltd-reduces-stake-in-ppl-co-by-6/
